id,con,pre,rel,con_polar,con_P,pre_polar,pre_senti,pre_jtype,pre_Q,conpre_polar
8516#1_9360#258,Children should be allowed to vote.,"This would be a significant change to the current jury system and require reforming the system, suggesting it is not currently operating in a particularly effective way.",neu,advocate,Children be allowed to vote,,,,,neutral
10154#1_5601#464,Student loan debt in the US should be forgiven for all.,An election every four years does not provide enough of a check on a president who is unfit and abusing the power of the office.,neu,advocate,Student loan debt in the US be forgiven for all,,,,,neutral
26929#2_26929#59,"Elected officials should represent as many people as possible. The fewer people vote, the fewer are represented.",Compulsory voting would thereby lead to a more accurate representation of the people.,sup,advocate,Elected officials represent as many people as possible,advocate,positive,conseq,Compulsory voting would thereby lead to a more accurate representation of the people,consist
2853#1_23597#25,The US should not try to force North Korea to abandon its nuclear program.,"With the popularity of body modification during the 1990s and onwards, it is likely that a substantial part of the working population today has or has had some sort of body modification.",neu,object,The US try to force North Korea to abandon its nuclear program,,,,,neutral
13282#3_16376#42,The financial sector's online activities should be regulated.,Dockless systems allow flexibility for large events (e.g. moving lots of bikes near a stadium before a sporting event),neu,advocate,The financial sector's online activities be regulated,,,,,neutral
939#1_939#924,Polygamy should be legal.,"In practice, polygamy tends to undermine gender equality. Legal recognition of polygamy would therefore sanction relationships that tend to subordinate women.",att,advocate,Polygamy be legal,advocate,negative,conseq,Legal recognition of polygamy would therefore sanction relationships that tend to subordinate women,consist
2214#1_2214#164,High-income countries should take in significant numbers of refugees.,Accepting refugees benefits the citizens of high-income countries.,sup,advocate,High-income countries take in significant numbers of refugees,advocate,positive,conseq,Accepting refugees benefits the citizens of high-income countries,consist
5601#1_18637#66,Donald Trump should be impeached.,"suicide is basically a personal choice, the problem is this, often the person turns the gun on others, thats a real problem, if he want to off himself , who cares?",neu,advocate,Donald Trump be impeached,,,,,neutral
6351#8_29365#137,The European Union should become a United States of Europe.,"The effects of hormone blockers are reversible and therefore do not require the patient to be capable of informed consent - as soon as the treatment is stopped, puberty resumes.",neu,advocate,The European Union become a United States of Europe,,,,,neutral
2032#189_10134#499,The prevalence of laptops and other devices outside schools shapes how students interact with information. Schools should not reject this reality but capitalize on it.,"Laws exist to protect the rights of all citizens, even the unpopular ones. A lot of people believe that pre-marital sex and cross dressing are immoral. That does not mean that we should start throwing people in prison who do those things.",neu,object,Schools reject The prevalence of laptops and other devices outside schools shapes how students interact with information ,,,,,neutral
18730#1_18730#6,There should be a global evaluation system for students' performances,"Educational possibilities differ from nation to nation, still favoring wealthy countries.",att,advocate,a global evaluation system for students' performances,advocate,negative,property,"Educational possibilities differ from nation to nation, still favoring wealthy countries",consist
1922#1_1955#1163,Gender restrictions on nipple showing in the US should be eliminated.,"There are some laws that apply to the real world which should be applied to the virtual world, but not all of them. For example, if you make a threat in the virtual world to do something in reality that should still be illegal. Same if you used fraud while in the virtual world to get someone to buy a product in the real world or with real money. But acts that don't effect the real world should only be limited by what users consent to before logging in.",neu,object,Gender restrictions on nipple showing in the US,,,,,neutral
1474#5_1474#821,"Once released, they should be treated like ordinary citizens, imposing no additional obligations upon them.","The government, by taking a lenient stance on pedophilia, can help contribute to the norm of showing compassion towards pedophiles.",sup,advocate,"Once released, they be treated like ordinary citizens, imposing no additional obligations upon them",advocate,positive,conseq,"The government, by taking a lenient stance on pedophilia, can help contribute to the norm of showing compassion towards pedophiles",consist
29207#1_29207#3,Stop with the give away shop,It takes to much effort for the people who care for it,sup,object,the give away shop,advocate,negative,conseq,It takes to much effort for the people who care for it,contrast
10097#2_10097#69,Try to attack him and kill him before he kills you.,"Maybe the alien came here in order to warn us about some danger coming to Earth, and help us. After we killed him we won't be prepared to face that danger, and Humankind could be destroyed.",att,advocate,Try to attack him and kill him before he kills you,advocate,negative,conseq,"After we killed him we won't be prepared to face that danger, and Humankind could be destroyed",consist
4650#902_19017#2,Eliminate all single-winner offices.,Carl Wieman (and others) has demonstrated that traditional lecturing is ineffective in science teaching at university and that active forms of learning are much better. insidehighered.com,neu,object,all single-winner offices,,,,,neutral
10250#1_10250#1797,Voters in the UK should have a final vote on the Brexit deal.,More than 1m people demanded this in a big demonstration on the 23rd March 2019 in London. That should send some signals to the politicians who should decide to give the final vote to people.,sup,advocate,Voters in the UK have a final vote on the Brexit deal,advocate,positive,property,More than 1m people demanded this in a big demonstration on the 23rd March 2019 in London,consist
16648#12_16648#31,The US should establish a Space Force,Military action in space is highly impractical.,att,advocate,The US establish a Space Force,advocate,negative,property,Military action in space is highly impractical,consist
12546#1_6980#48,The lottery should be banned.,In case of independence the eastern provinces are isolated from Canada and might join Québec.,neu,object,The lottery,,,,,neutral
921#2742_921#2902,"This single instance of crisis involving relatively few people in any case is insignificant in comparison to the massive systemic problem of trolley safety. The one at the lever need not consider the immediate conundrum, but rather the larger underlying question, why do we keep putting people on the track?","This is classic example of the ""No True Scottsman""phallacy of logic. By shifting responsibility of the problem to the system, you are able to avoid being wrong for not doing what is expected of you.",att,object,The one at the lever consider the immediate conundrum,object,negative,property,"By shifting responsibility of the problem to the system, you are able to avoid being wrong for not doing what is expected of you",consist
3346#1_3346#1042,"The US should adopt stricter gun control legislation, in the form of the policy defined in the discussion info (click top left menu =\> Info).","Chicago has some of the strictest gun laws in America, and yet also have some of the highest rates of gun crime.",att,advocate,The US adopt stricter gun control legislation in the form of the policy defined in the discussion info (click top left menu =\> Info),advocate,negative,property,"Chicago has some of the strictest gun laws in America, and yet also have some of the highest rates of gun crime",consist
20564#1_20564#12408,Kialo should separate impact voting into relevance and veracity of claim. TLDR,"When doing the guided voting, especially for larger discussions, there are just too many claims that need votes. Adding additional voting would be just too overwhelming.",att,advocate,Kialo separate impact voting into relevance and veracity of claim,advocate,negative,conseq,Adding additional voting would be just too overwhelming,consist
7304#535_985#1940,The right to health care is an ethical value that should be upheld.,"Since the advent of the health insurance machine, peoples normal life span has been artificially extended past what most would consider living. This unnatural extension of life is unjust and unethical. It exploits emotions by giving unrealistic hope for recovery. It is unfair to families often left with a tremendous financial burden do to medical costs. A person should be able to decide when life as they define it, has been completed.",neu,advocate,The right to health care be upheld,,,,,neutral
16322#207_16322#337,We have to face people we don't personally agree with all the time and it's very important that we show them respect and not allow it to become personal. Treating someone as subhuman is not good for society.,People in the Trump administration are all part of the dominant group. They are not oppressed otherwise and it is good for them to see how the discrimination they support is affecting people.,att,advocate,face people we don't personally agree with and show them respect,object,positive,norm,They are not oppressed otherwise and it is good for them to see how the discrimination they support is affecting people,contrast
1922#19_1922#131,Women should preserve their nudity for their partners.,"In an attempt to protect their female partners from the inappropriate responses from others, violent confrontations are likely to occur. This can be avoided with restrictions on female nipple exposure.",sup,advocate,Women preserve their nudity for their partners,object,negative,conseq,"In an attempt to protect their female partners from the inappropriate responses from others, violent confrontations are likely to occur",contrast
2027#1043_2027#2207,Pursue a 'war on drugs' with harsh policies for both the consumption and trade of drugs (not including alcohol).,"It is extremely hypocritical to say that all drugs should be illegal, but alcohol, which is proven to be one of the worst drugs out there, is fine and should be legal.",att,advocate,a 'war on drugs' with harsh policies for both the consumption and trade of drugs (not including alcohol),advocate,negative,property,"It is extremely hypocritical to say that all drugs should be illegal, but alcohol, which is proven to be one of the worst drugs out there, is fine and should be legal",consist
12158#2_12626#752,The existing means test should be aligned with the Care Act financial assessment,"Banning religious symbols from school could support bullying of people who are religious, make student feel alienated and different, and unintentionally smother religion. Teachers hiding their religion may make students feel they need to do the same, smothering their free choice for fear of alienation and bullying.",neu,advocate,The existing means test be aligned with the Care Act financial assessment,,,,,neutral
4650#902_4650#903,Eliminate all single-winner offices.,"Some government roles that currently are held by a one-person executive could be replaced with a council. Switzerland has a seven-person executive, for example.",sup,object,all single-winner offices,object,positive,conseq,Some government roles that currently are held by a one-person executive could be replaced with a council,consist
14119#8_14119#113,Because of overpopulation not anyone should be allowed to be a parent.,"Overpopulated regions tend to be populated by minorities, and thus overpopulation arguments are actually just masked eugenics.",att,object,anyone be allowed to be a parent,object,negative,property,overpopulation arguments are actually just masked eugenics,consist
14346#107_14346#115,"Men have to pay for shaving cream and razors as much as women have to pay for tampons. For the sake of gender equality, taxes should be removed on these products as well.",Women already pay more for products than men.,att,advocate,taxes be removed on shaving cream and razors as well,advocate,negative,property,Women already pay more for products than men,consist
12828#1_12828#605,Private education is wrong and should be ended.,Private education is a form of consentual exchange of goods and services (in this case money and tutoring) which does no direct harm and denies no rights to any other person and should therefore constitute a part of basic human freedom.,att,object,Private education,advocate,positive,norm,Private education is a form of consentual exchange of goods and services (in this case money and tutoring) which does no direct harm and denies no rights to any other person and should therefore constitute a part of basic human freedom,contrast
2408#1_2408#3581,"The US should remove Confederate memorials, flags, and monuments from public spaces.","In the Roman Coliseum, things happened to Christians that were unspeakable. That it still stands today is not a cause of fear. Historical monuments of any kind eventually become valued antiquities, but only if left to stand. Cities that destroy their history never gain character.",att,object,"The US, Confederate memorials, flags, and monuments from public spaces",object,negative,conseq,Cities that destroy their history never gain character,consist
21159#1_17763#20,Humans should not tour space.,"The birth of new children is crucial for the maintenance of a substantial workforce, without which an industrial economy can no longer function.",neu,object,Humans tour space,,,,,neutral
9746#25_17753#7,The quote says it should be 'regulated'. Restricting the availability of certain types of guns is therefore well within the range of permissible actions.,Users choose the appropriate Privacy setting More information,neu,advocate,guns be 'regulated',,,,,neutral
21064#1_21064#4,Inheritance should be abolished.,"The more money you have the easier it is to make more money (by investing, rent, etc.).",sup,object,Inheritance,advocate,negative,conseq,"The more money you have the easier it is to make more money (by investing, rent, etc.)",contrast
9647#1_9647#132,Homeschooling should be banned.,Homeschooling often involves isolated learning environments that may lack accountability and regulations.,sup,object,Homeschooling,advocate,negative,conseq,Homeschooling often involves isolated learning environments that may lack accountability and regulations,contrast
963#15_963#114,"If a young woman has decided to become sexually active, she should be allowed to decide whether to have an abortion and whether to choose to involve her parents in the decision about an abortion.",She will be the one carrying the main consequences and thus the right should be on her.,sup,advocate,a young woman be allowed to decide whether to have an abortion and whether to choose to involve her parents in the decision about an abortion,advocate,positive,norm,the right should be on her,consist
9197#1_9197#248,We should have a single global language.,A global language that is not subject to interpretation would make it easier for people to convey thoughts and solutions without being misunderstood by cultural context especially when solving extremely important technical issues or in emergencies that absolutely cannot be misinterpreted when lives are at stake.,sup,advocate,a single global language,advocate,positive,conseq,A global language that is not subject to interpretation would make it easier for people to convey thoughts and solutions without being misunderstood by cultural context,consist
1634#1_14035#944,Wealthy countries should provide citizens with a universal basic income (UBI).,"Creatures that do not have the cognitive power to understand right and wrong do not have sentience, so it does not matter what is done to them.",neu,advocate,Wealthy countries provide citizens with a universal basic income (UBI),,,,,neutral
15900#4_3692#873,"Climate change stands to cause substantial economic, and ecological damage to the world, and we should try to diminish its effects.","The concept of a social contract where we agree on maintaining a civil society bound by the Rule of Law or, at least, good manners suggests that we should look after those who can't look after themselves.",neu,advocate,we try to diminish Climate change effects,,,,,neutral
801#1_801#1851,Capital punishment should be abolished in the United States.,There remains no evidence that capital punishment effectively deters violent crime.,sup,object,Capital punishment in the United States,advocate,negative,property,There remains no evidence that capital punishment effectively deters violent crime,contrast
10134#1_10134#651,Hate speech should be legally protected.,Hate speech should be prohibited around the world because of the emotional harm it does in the society amidst groups and humanity.,att,advocate,Hate speech be legally protected,advocate,negative,conseq,Hate speech should be prohibited around the world because of the emotional harm it does in the society amidst groups and humanity,consist
3991#1_12158#32,World Cup soccer should have a backcourt foul: a pass from the attacking half to the defending half must pass through the circle (or result in a free kick).,If you live in a well adapted home you're less likely to ever move into residential care,neu,advocate,World Cup soccer have a backcourt foul,,,,,neutral
7614#1_7614#33,School should be mandatory.,Mandatory schooling can too easily infringe upon parents' rights to raise their children in accordance with their family's social and/or religious paradigms.,att,advocate,School be mandatory,advocate,negative,conseq,Mandatory schooling can too easily infringe upon parents' rights to raise their children in accordance with their family's social and/or religious paradigms,consist
14699#2_14699#172,"If a person consents to or asks to be eaten, it should be permissible to act on this.",Human meat is a resource that should be used for the better of the planet and its inhabitants.,sup,advocate,If a person consents to or asks to be eaten it be permissible,advocate,positive,norm,Human meat is a resource that should be used for the better of the planet and its inhabitants,consist
14035#863_14035#944,"Animals do not have a choice, they have to eat other animals to survive, and don't have the cognitive abilities to take an ethical stance on eating animals. Humans have choice and can be perfectly healthy without meat.","Creatures that do not have the cognitive power to understand right and wrong do not have sentience, so it does not matter what is done to them.",att,advocate,Animals eat other animals to survive,advocate,negative,property,"Creatures that do not have the cognitive power to understand right and wrong do not have sentience, so it does not matter what is done to them",consist
29365#199_29365#219,The fundamental idea of being a minor is that they are not mature enough to make decisions with lifelong consequences - which is why minors must have legal guardians.,"While guardians can on occasion be required to make decisions on behalf of their child, attempts are often made to allow the child make decisions for themselves once a certain level of maturity and competency can be attributed to the child.",att,advocate,minors have legal guardians,object,positive,property,attempts are often made to allow the child make decisions for themselves once a certain level of maturity and competency can be attributed to the child,contrast
984#357_984#427,There is no reason sexual desires should be suppressed.,Sex prevents depression naturally.,sup,object,sexual desires be suppressed,object,positive,conseq,Sex prevents depression naturally,consist
10134#105_10134#404,"Where right to free speech is already written into the constitution or law of many countries, it should be defended without question and violation should not be tolerated.",The US Constitution has no jurisdiction over hate speech in other countries.,att,advocate,"Where right to free speech is already written into the constitution or law of many countries, be defended without question",object,positive,property,The US Constitution has no jurisdiction over hate speech in other countries,contrast
15434#1_10250#424,All religions should be banned on a global scale.,"EU citizens resident in the UK, aside from Irish, Maltese and Cypriots, have not pledged allegiance to the UK and so should not be given a vote in matters of State.",neu,object,All religions on a global scale,,,,,neutral
1926#6_1926#1377,"It is important to preserve the artistic integrity of great works of art like Huckleberry Finn. As such, none of its language should be modified.","Not all great literature is age-appropriate. Thus, it must sometimes be modified to make it accessible to those ages.",att,object,Huckleberry Finn language be modified,advocate,positive,norm,it must sometimes be modified to make it accessible to those ages,contrast
29964#3_2160#66,Curricula ought to reflect the diversity of the peoples and cultures who are following and learning from them.,"Experts warn that North Korean weapon development could result in catastrophic events for the United States, among other countries.",neu,advocate,Curricula reflect the diversity of the peoples and cultures who are following and learning from them,,,,,neutral
2211#1_2211#967,Democracies should only provide official development assistance (ODA) to democratic countries.,"Charity can be found via alternative means within a wealthier nation, such as missionary work and non-profits. A nation should not spend its tax money on official state programs supporting other nations at the expense of their own growth, particularly when not all voters agree on how, how much, and to whom it should be distributed.",att,advocate,Democracies only provide official development assistance (ODA) to democratic countries,advocate,negative,norm,"A nation should not spend its tax money on official state programs supporting other nations at the expense of their own growth, particularly when not all voters agree on how, how much, and to whom it should be distributed",consist
7100#1_7100#3962,All drugs should be legalised.,"Legalisation will at length normalize drug use, which can lead to excess use as with alcohol (drinking games, binge drinking) which can be far more dangerous when done with hard drugs.",att,advocate,All drugs be legalised,advocate,negative,conseq,"Legalisation will at length normalize drug use, which can lead to excess use as with alcohol (drinking games, binge drinking) which can be far more dangerous when done with hard drugs",consist
3346#1_8752#49,"The US should adopt stricter gun control legislation, in the form of the policy defined in the discussion info (click top left menu =\> Info).",Transparency between the requirements and the delivered product would provide for better auditing and easier finding of political embezzlement.,neu,advocate,The US adopt stricter gun control legislation in the form of the policy defined in the discussion info (click top left menu =\> Info),,,,,neutral
2762#1_30410#11,All humans should be vegan.,"It does not make logistical sense to reallocate the land, it is too late to return it.",neu,advocate,All humans be vegan,,,,,neutral
13876#1_13876#3,The US should support EU policy to limit cadmium levels in fertilizer to 20mg/kg,Cadmium is a heavy metal with neurotoxic effects. Reducing cadmium levels in food would benefit public health in the EU and importers of EU produce.,sup,advocate,The US support EU policy to limit cadmium levels in fertilizer to 20mg/kg,advocate,positive,conseq,Reducing cadmium levels in food would benefit public health in the EU and importers of EU produce,consist
2408#3_2408#1450,The Confederates committed treason against the United States. The United States should not continue to honor or memorialize them.,"President Andrew Johnson pardoned all confederates for Treason, suggesting that all confederates had in fact committed treason (otherwise they would not need to be pardoned).",sup,object,The United States continue to honor or memorialize The Confederates,advocate,negative,property,"President Andrew Johnson pardoned all confederates for Treason, suggesting that all confederates had in fact committed treason",contrast
10068#1_10068#3,Homework should be mandatory.,Doing homework helps memory,sup,advocate,Homework be mandatory,advocate,positive,conseq,Doing homework helps memory,consist
30857#3_23850#584,Healthcare needs more transparency in the United States (HIPAA is in the way),The U.S. Supreme Court decides some of the most important and difficult issues in America. These issues should not be decided by Justices' appointed randomly who are unrepresentative of public opinion.,neu,advocate,Healthcare transparency in the United States (HIPAA is in the way),,,,,neutral
9197#1_1229#6045,We should have a single global language.,"Marginal land that can't efficiently produce more than just forages can be used for feeding animals. At the same time, the manure from the animals can be used to return nutrients to the soil.",neu,advocate,a single global language,,,,,neutral
5496#1_16174#210,"One should believe that God exists, even if they are not sure it's true.",Lots of LGBTQ+ individuals work for large corporations.,neu,advocate,"believe that God exists, even if they are not sure it's true",,,,,neutral
17721#1_17721#85,Sled dog racing should be banned.,Animals should not be used for human entertainment.,sup,object,Sled dog racing,advocate,negative,norm,Animals should not be used for human entertainment,contrast
7405#5_7405#40,Changing the time takes some effort and has to be remembered.,"There are sites, such as World Time Buddy that takes the effort out of trying to remember.",att,advocate,Changing the time be remembered,object,positive,property,"There are sites, such as World Time Buddy that takes the effort out of trying to remember",contrast
27396#1_9762#273,Facebook should do more to limit hate speech.,People should be free to carry guns and teachers shouldn't be an exception to this.,neu,advocate,Facebook do more to limit hate speech,,,,,neutral
2469#1_2469#1385,The electoral college should be abolished.,"If all votes counted equally, all votes could be contested with impact. The Florida hanging chads would be hanging in all states, and the election results could be challenged in 50 states.",att,object,The electoral college,object,negative,conseq,"The Florida hanging chads would be hanging in all states, and the election results could be challenged in 50 states",consist
25803#110_7865#1208,People choose to opt into internships. If they feel it is in their interests they should be free to choose to do so.,The reason that current democracies need limitation is that government's natural tendency is toward tyranny. Liquid Democracy is a step away from tyranny.,neu,advocate,choose to opt into internships,,,,,neutral
985#1967_3346#4275,"None of us chose to be born, at least not consciously, and if we find life, our surroundings or some circumstances difficult to cope with, we should have a way out. Some people do not want to live, and I think that it would only be fair to give them this option to do this in a more ''clean'' way instead of traditional suicide which can be really messy and hard for the families. Also, there is already too many of us on this planet, why should we force someone to live if they do not want to.",Licensing by class of firearm would reduce mass shootings with assault weapons.,neu,advocate,"if we find life, our surroundings or some circumstances difficult to cope with, we have a way out",,,,,neutral
1634#1_1634#6094,Wealthy countries should provide citizens with a universal basic income (UBI).,A UBI would dramatically increase the unsustainable debt of nations as populations grow and interfere with the free market forces that have historically lead to maximum prosperity and economic freedom.,att,advocate,Wealthy countries provide citizens with a universal basic income (UBI),advocate,negative,conseq,A UBI would dramatically increase the unsustainable debt of nations as populations grow and interfere with the free market forces that have historically lead to maximum prosperity and economic freedom,consist
4458#1_23911#5,Democrats should not cooperate with Donald Trump’s presidency.,The NTSC version is more fun.,neu,object,Democrats cooperate with Donald Trump’s presidency,,,,,neutral
10104#1065_16566#164,"Because of the incredible passion people have against putting pineapples on pizza, we ought not to combine the two, thus ending existing conflict and reducing the chance of future conflict, altogether leading towards world peace.","Although the implicated message is nice, embracing our differences have appeared to be perilous to opportunity. Several people experience the loss or gain of opportunity just because of their race or ethnicity. Embracing race can also mean gatherings of similar-minded racial or ethnic groups and could possibly lead to the rise of dangerous supremacist or extremist groups.",neu,object,pineapples on pizza,,,,,neutral
1634#1_17721#85,Wealthy countries should provide citizens with a universal basic income (UBI).,Animals should not be used for human entertainment.,neu,advocate,Wealthy countries provide citizens with a universal basic income (UBI),,,,,neutral
16712#1_2762#447,"The U.S. should adopt the ""Right to be Forgotten"" on the web.","Certain forms of privately maintained animal rearing are not harmful, for instance keeping a chicken in your backyard.",neu,advocate,"The U.S. adopt the ""Right to be Forgotten"" on the web",,,,,neutral
5637#1_1154#56,Pregnant people should have the right to choose abortion.,"Code and software is a form of speech. Asking Apple to create and sign its digital key to the code that the FBI is requesting they create is the equivalent of compelling speech, something which the principles of free speech and constitutional law in the US are designed to protect against.",neu,advocate,Pregnant people have the right to choose abortion,,,,,neutral
4608#14_16376#269,Wealthy people should have more decision-making power over who runs the government.,Many residents use bikeshare to make one-way trips in situations where they may not be able to bike back (e.g. commute to work but not home because of daylight),neu,advocate,Wealthy people have more decision-making power over who runs the government,,,,,neutral
3692#1_3692#926,There should be no welfare state.,Paying money for a welfare state is the price of living in a society.,att,object,welfare state,advocate,positive,property,Paying money for a welfare state is the price of living in a society,contrast
26696#1_13208#143,If he broke the law the President of the United States should be indicted and prosecuted.,The US has no legal means to have a military presence which is occupying the whole of eastern Syria.,neu,advocate,If he broke the law the President of the United States be indicted and prosecuted,,,,,neutral
2408#1082_2408#1091,"The power to take down statues also is the power to control history and thus, to control the future. This power lends itself to being employed in the service of political agendas, rather than the good of society, and should be used as sparingly as possible",We absolutely can apply yesterday's moral standards to yesterday's time. It wasn't socially acceptable to seek the destruction of the United States government even back then. That is what the war was about.,att,advocate,"The power to control history and thus, to control the future be used as sparingly as possible",object,positive,property,We absolutely can apply yesterday's moral standards to yesterday's time,contrast
12991#1_7304#535,There should be a united International Women's liberation party.,The right to health care is an ethical value that should be upheld.,neu,advocate,a united International Women's liberation party,,,,,neutral
14035#19_14035#558,Vegetarian diet needs proper supplementation or a wide knowledge about nutrition to avoid deficiency.,"With all the harmful additives, surplus salt/sugar, excess fat, hormones, antibiotics, etc. in our food sources, any healthy diet nowadays requires a wider nutritional knowledge. Having meat in one's diet does not mean that diet is not nutritionally deficient.",att,advocate,Vegetarian diet proper supplementation or a wide knowledge about nutrition,advocate,negative,property,"With all the harmful additives, surplus salt/sugar, excess fat, hormones, antibiotics, etc. in our food sources, any healthy diet nowadays requires a wider nutritional knowledge. ",consist
12158#19_9746#3,One person cannot possibly have the expertise to understand the range of options available to a person. For that you need specialised knowledge,"If you outlaw semi-automatic rifles, only outlaws will be able to get semi-auto, external box magazine fed firearms.",neu,advocate,specialised knowledge to understand the range of options available to a person,,,,,neutral
1414#29_21159#6,Certain work requires privacy to perform effectively.,Space tourism is not profitable.,neu,advocate,"Certain work, privacy to perform effectively",,,,,neutral
2469#1_2469#967,The electoral college should be abolished.,There are more people in Los Angeles County alone than in 43 states. The electoral college gives the people in smaller states a voice in national elections whereas their voices would be drowned out by states with bigger populations otherwise. It also forces presidential candidates to listen to the people in smaller states who would otherwise be ignored. The electoral college works just fine.,att,object,The electoral college,advocate,positive,conseq,The electoral college gives the people in smaller states a voice in national elections whereas their voices would be drowned out by states with bigger populations otherwise,contrast
14255#1735_14255#1805,"Religions, sects, denominations, and churches should exist upon their own merit. If a church would fail without it’s non taxable status, it should be allowed to fail. It is the free market of ideas.","No church would fail because it has to file taxes since they all have zero taxable income. However, US citizens would have to pay more taxes to process the additional 300,000 tax filings.",att,advocate,"Religions, sects, denominations, and churches exist upon their own merit",advocate,negative,conseq,"However, US citizens would have to pay more taxes to process the additional 300,000 tax filings",consist
7738#69_7738#169,The human mind is capable of conceiving of things that cannot be observed. Religion itself is proof of this. That capability need not come from an external source.,Religion is not proof that the human mind is capable of conceiving of things that cannot be observed.,att,object,"That capability, of conceiving of things that cannot be observed, come from an external source",advocate,negative,property,Religion is not proof that the human mind is capable of conceiving of things that cannot be observed,contrast
8708#1_7304#507,The UK should remain in the EU if a hard Brexit is the only alternative option.,"Individuals who work full time at minimum wage for an employer who doesn't provide health insurance, usually can't afford coverage. Health care coverage should not be considered a luxury item out of reach for those who earn low wages.",neu,advocate,The UK remain in the EU if a hard Brexit is the only alternative option,,,,,neutral
26938#32_1764#1686,"It's hard to justify why wealthy people should pay more tax than unwealthy ones, as you cannot justify either, to price a product (like a TV) upon the income of the buyer. Same Service/Product - same price.",Justice which depends on refusing to hear another party is not justice at all. It is totalitarianism.,neu,object,wealthy people pay more tax than unwealthy ones,,,,,neutral
12278#1_4540#207,The government should be involved in the lives of its citizens as little as possible.,Dealing with the effects of climate change in the future would be much more complicated than dealing with them now,neu,advocate,The government be involved in the lives of its citizens as little as possible,,,,,neutral
5292#1_1764#47,The quality of artwork should not be judged based on the conduct of the artist.,"If a speaker puts forward an idea which is racist or otherwise extreme, students will be able to challenge the ideas and engage directly with the discourse.",neu,object,The quality of artwork be judged based on the conduct of the artist,,,,,neutral
16035#1_16035#56,Congress and the Senate should impose term limits on Representatives,"Being a career representative is a conflict of interest. One is elected to represent the voters, not rule.",sup,advocate,Congress and the Senate impose term limits on Representatives,object,negative,property,Being a career representative is a conflict of interest,contrast
4148#34_4148#48,Animals should be preserved in order to eradicate ethics.,"Concepts of ethical frameworks might only exist within human minds, but what they measure is real. For example consequentialism is a human construct, but the consequences of actions are real.",att,advocate,Animals be preserved,advocate,negative,property,"Concepts of ethical frameworks might only exist within human minds, but what they measure is real",consist
30410#3_30410#11,Indigenous lands should be returned to Native populations.,"It does not make logistical sense to reallocate the land, it is too late to return it.",att,advocate,Indigenous lands be returned to Native populations,advocate,negative,property,"It does not make logistical sense to reallocate the land, it is too late to return it",consist
17707#45_7614#81,"People don't speak a common language, so there needs to be a state/autonomy for each language in order to prevent chaos.","Mandatory schooling means teachers have to focus a lot of time and attention on teaching a ""hidden curriculum"" of obedience to authority. This is undemocratic and wasteful.",neu,advocate,a state/autonomy for each language,,,,,neutral
13269#1_15900#93,STEM degrees should be free.,Photovoltaic cell production on a scale significant enough to accommodate the current plans form many utilities to increase their solar energy portfolios tenfold may have a massive environmental consequence for third world communities where PV cell manufacturing is largely unregulated and remediation of toxic sludge during production can mean dumping in local watersheds. Solar cell production must come with environmental safeguards.,neu,advocate,STEM degrees be free,,,,,neutral
4555#1_4555#125,Schools should eliminate grades and replace them with competency based education.,"In theory this is a good idea, however my high school tried it and it was terrible. We needed structure and time lines, and hard fails. While I agree that certain aspects are good, we could retake tests as many times as it took to ""learn"" the material and in the end I didn't learn anything just memorized bits and pieces for each attempt.",att,object,Schools grades,object,negative,conseq,my high school tried it and it was terrible,consist
5637#1245_5637#3917,"There are many reasons a woman may not be equipped to or want to raise a child. In these cases, it is important that she is able to choose abortion.","She is in the middle of a divorce. Maybe she is afraid she will be outcast by her loved ones. Money can be a big realistic problem too. These are cases that might lead to abortion, besides rape. Making people take full responsibility for things they cannot control is wrong. Many people such as the government, the man, or the prejudices of society in whole is part of the blame. But, banning abortion without proper welfare is shoving all the blame upon the woman.",sup,advocate,a woman not equipped to or want to raise a child is able to choose abortion,object,negative,norm,Making people take full responsibility for things they cannot control is wrong. ,contrast
2799#1_18720#5,"Health care should be voluntary and market provided, not mandatory, nor provided or regulated by government.",This would undo years of cultural and religious traditions that society should honour.,neu,advocate,Health care be voluntary and market provided,,,,,neutral
7055#915_18637#66,DJ's betrayal isn't heart-wrenching because of his shallow character build and limited screen time. To introduce such a powerful theme from a character we haven't met before is indicative of the films weak storytelling. It should have come from a character who was already introduced or developed from The Force Awakens.,"suicide is basically a personal choice, the problem is this, often the person turns the gun on others, thats a real problem, if he want to off himself , who cares?",neu,advocate,such a powerful theme have come from a character who was already introduced or developed from The Force Awakens,,,,,neutral
10035#1_18720#5,All couples should sign a prenuptial agreement before marriage.,This would undo years of cultural and religious traditions that society should honour.,neu,advocate,All couples sign a prenuptial agreement before marriage,,,,,neutral
14198#1_14198#26,Computer and Technology Education for kids should begin as early as three years old.,"Computers are a part of everyday life these days, so people should understand how to make best use of them.",sup,advocate,Computer and Technology Education for kids begin as early as three years old,advocate,positive,norm,"Computers are a part of everyday life these days, so people should understand how to make best use of them",consist
